modulation,mapping,ber_mean,ber_std,improvement_percent,runs
16ASK,Natural,0.19482189,0.00052744,,0.19408207;0.19527419;0.19510942
16ASK,Gray,0.18917793,0.00193146,2.90,0.18749152;0.18816027;0.19188199
16PSK,Natural,0.07137503,0.00011229,,0.07122642;0.07149780;0.07140088
16PSK,Gray,0.03202233,0.00019878,55.14,0.03174126;0.03215802;0.03216771
16QAM,Natural,0.00505599,0.00018882,,0.00479753;0.00524337;0.00512706
16QAM,Gray,0.00021969,0.00003568,95.65,0.00017446;0.00026168;0.00022292
