display_name,modulation,order,channel_name,gray_ok,roll_off,input_mode,snr_db,media,repeat,decoder,ber,model_path
16ASK,MASK,16,AWGN,True,0.35,hard,10,image,2,Viterbi,0.0143441431,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,10,image,2,AI-BiGRU,0.0071720716,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,10,image,3,Viterbi,0.0142762992,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,10,image,3,AI-BiGRU,0.0070169997,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,0,audio,1,Viterbi,0.3238364746,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,0,audio,1,AI-BiGRU,0.2771121681,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,0,audio,2,Viterbi,0.3245398352,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,0,audio,2,AI-BiGRU,0.2794338543,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,0,audio,3,Viterbi,0.3259033416,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,0,audio,3,AI-BiGRU,0.2785323009,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,2,audio,1,Viterbi,0.2604922928,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,2,audio,1,AI-BiGRU,0.1973015987,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,2,audio,2,Viterbi,0.2605846834,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,2,audio,2,AI-BiGRU,0.1989467473,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,2,audio,3,Viterbi,0.2608901684,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,2,audio,3,AI-BiGRU,0.1988901208,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,4,audio,1,Viterbi,0.1789054397,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,4,audio,1,AI-BiGRU,0.1144540610,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,4,audio,2,Viterbi,0.1740519533,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,4,audio,2,AI-BiGRU,0.1115482279,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,4,audio,3,Viterbi,0.1770188834,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,4,audio,3,AI-BiGRU,0.1127046005,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,6,audio,1,Viterbi,0.0970741986,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,6,audio,1,AI-BiGRU,0.0530664735,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,6,audio,2,Viterbi,0.0972425879,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,6,audio,2,AI-BiGRU,0.0524793462,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,6,audio,3,Viterbi,0.0970965511,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,6,audio,3,AI-BiGRU,0.0527282048,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,8,audio,1,Viterbi,0.0410407949,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,8,audio,1,AI-BiGRU,0.0204242814,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,8,audio,2,Viterbi,0.0418007820,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,8,audio,2,AI-BiGRU,0.0206165135,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,8,audio,3,Viterbi,0.0407159377,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,8,audio,3,AI-BiGRU,0.0201858541,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,10,audio,1,Viterbi,0.0131269149,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,10,audio,1,AI-BiGRU,0.0065463205,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,10,audio,2,Viterbi,0.0129108401,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,10,audio,2,AI-BiGRU,0.0066208290,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,10,audio,3,Viterbi,0.0131060525,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,10,audio,3,AI-BiGRU,0.0065060859,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,0,image,1,Viterbi,0.1788947256,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,0,image,1,AI-BiGRU,0.1196282153,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,0,image,2,Viterbi,0.1757642133,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,0,image,2,AI-BiGRU,0.1174281339,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,0,image,3,Viterbi,0.1791757933,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,0,image,3,AI-BiGRU,0.1201225067,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,2,image,1,Viterbi,0.0887979996,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,2,image,1,AI-BiGRU,0.0499234333,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,2,image,2,Viterbi,0.0863943864,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,2,image,2,AI-BiGRU,0.0485180949,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,2,image,3,Viterbi,0.0883715521,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,2,image,3,AI-BiGRU,0.0504661847,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,4,image,1,Viterbi,0.0334858206,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,4,image,1,AI-BiGRU,0.0157300975,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,4,image,2,Viterbi,0.0318091066,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,4,image,2,AI-BiGRU,0.0146445948,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
